method,min,max,avg,sum,last,integral
organizationmanager.v1.GroupService/List,0.36311202202761744,1.578491501563054,1.2550076641080417,624.9938167258048,1.1576104173719968,3349891.965390784
organizationmanager.v1.GroupService/Get,0.41673258024407184,1.4365950620317343,0.8951563391609443,445.7878569021502,0.896860023562721,2386826.5962686953
organizationmanager.v1.GroupMappingService/ListItems,0,0.00843651968876293,0.0005746595412992894,0.28618045156704613,0.0005082562228398895,1530.6777057825589
organizationmanager.v1.GroupMappingService/Get,0,0.045263781896145605,0.003712877022170965,1.8490127570411405,0.008770092588063464,9903.830261520563
oauth.v1.SessionService/GetOpenIDConfiguration,0,2.017787197482558,0.06988143488176224,34.80095457111759,0.1256224741711945,182863.33984985467
oauth.v1.LoginHistoryService/List,0.42062915346872726,9.49835310436205,3.0193950629999784,1503.6587413739892,6.0513000800667385,8039420.3482875265
oauth.v1.ClaimService/Get,150.29344243628785,1273.2885736910744,415.01310624787084,206676.52691143967,774.949064596374,1105550978.3809185
iam.v1.workload.oidc.FederationService/ListAccessBindings,0,0.0012680371819555722,0.000013997638303728073,0.00530510491711294,0,28.47249809014515
iam.v1.workload.oidc.FederationService/List,0.13229613067511428,1.9389484702922448,0.6915150960201545,344.3745178180369,1.3189622459958397,1840959.4628603966
iam.v1.workload.oidc.FederationService/Get,0,0.00727511740214211,0.0002479540366858687,0.1234811102695626,0,662.0397854834098
iam.v1.workload.FederatedCredentialService/ListByFederation,0,0.006535966273283832,0.0001963469302217641,0.09778077125043853,0,524.7893993011033
iam.v1.workload.FederatedCredentialService/List,0.030909458068290308,0.29016727739477655,0.1924971152227053,95.86356338090724,0.24373891625804667,513340.99232614844
iam.v1.workload.FederatedCredentialService/Get,0,0.0031602591971513156,0.00009457644948793722,0.04549127220369781,0,242.10165791724617
